job_id,title,company,city,state,posted_date,salary_min,salary_max,employment_type,category,description
100023,Data Engineer,Amazon,Dallas,WA,2024-05-21,168626,183361,FULL_TIME,Tech,"Data Engineer role at Amazon in Dallas"
100024,BI Analyst,Deloitte,New York,TX,2024-08-25,100239,137225,FULL_TIME,Tech,"BI Analyst role at Deloitte in New York"
100025,ML Engineer,Apple,Dallas,WA,2024-05-25,96787,124241,FULL_TIME,Tech,"ML Engineer role at Apple in Dallas"
100026,Software Engineer,Amazon,Austin,IL,2024-09-10,164831,179438,FULL_TIME,Tech,"Software Engineer role at Amazon in Austin"
100027,BI Analyst,Apple,Chicago,TX,2024-06-15,138449,177422,FULL_TIME,Tech,"BI Analyst role at Apple in Chicago"
100028,Data Engineer,Meta,San Jose,IL,2024-04-16,201779,228383,FULL_TIME,Tech,"Data Engineer role at Meta in San Jose"
100029,Software Engineer,Infosys,Chicago,WA,2024-08-21,122407,161330,FULL_TIME,Tech,"Software Engineer role at Infosys in Chicago"
100030,Data Scientist,Amazon,Boston,NY,2024-04-21,193794,215779,FULL_TIME,Tech,"Data Scientist role at Amazon in Boston"
100031,ML Engineer,Deloitte,Seattle,TX,2024-04-25,127792,139486,FULL_TIME,Tech,"ML Engineer role at Deloitte in Seattle"
100032,Software Engineer,Deloitte,Austin,CA,2024-06-12,70500,106922,FULL_TIME,Tech,"Software Engineer role at Deloitte in Austin"
100033,Data Scientist,Infosys,Boston,MA,2024-03-23,122250,158578,FULL_TIME,Tech,"Data Scientist role at Infosys in Boston"
100034,Data Engineer,Google,Boston,MA,2024-07-12,173766,209119,FULL_TIME,Tech,"Data Engineer role at Google in Boston"
100035,Software Engineer,Microsoft,Austin,TX,2024-08-14,109623,153342,FULL_TIME,Tech,"Software Engineer role at Microsoft in Austin"
100036,BI Analyst,TCS,Chicago,NY,2024-09-14,110871,151827,FULL_TIME,Tech,"BI Analyst role at TCS in Chicago"
100037,Data Scientist,Amazon,Boston,MA,2024-03-23,96941,136451,FULL_TIME,Tech,"Data Scientist role at Amazon in Boston"
100038,Software Engineer,Meta,Dallas,NY,2024-09-17,125778,149977,FULL_TIME,Tech,"Software Engineer role at Meta in Dallas"
100039,BI Analyst,Deloitte,Seattle,IL,2024-01-21,179841,193431,FULL_TIME,Tech,"BI Analyst role at Deloitte in Seattle"
100040,ML Engineer,Infosys,Boston,IL,2024-03-26,104278,144131,FULL_TIME,Tech,"ML Engineer role at Infosys in Boston"
100041,BI Analyst,Amazon,Boston,CA,2024-01-14,118000,162882,FULL_TIME,Tech,"BI Analyst role at Amazon in Boston"
100042,Software Engineer,Microsoft,New York,IL,2024-01-20,101545,143014,FULL_TIME,Tech,"Software Engineer role at Microsoft in New York"
100043,BI Analyst,TCS,Boston,TX,2024-04-16,216878,225601,FULL_TIME,Tech,"BI Analyst role at TCS in Boston"
100044,Data Engineer,Amazon,Boston,TX,2024-09-10,203094,237727,FULL_TIME,Tech,"Data Engineer role at Amazon in Boston"
100045,Data Scientist,TCS,Seattle,IL,2024-09-16,202527,247250,FULL_TIME,Tech,"Data Scientist role at TCS in Seattle"
100046,Data Engineer,TCS,San Jose,IL,2024-04-26,195314,233590,FULL_TIME,Tech,"Data Engineer role at TCS in San Jose"
100047,Data Engineer,Meta,Boston,CA,2024-02-22,105948,138252,FULL_TIME,Tech,"Data Engineer role at Meta in Boston"
100048,ML Engineer,Deloitte,Dallas,MA,2024-02-16,133082,166153,FULL_TIME,Tech,"ML Engineer role at Deloitte in Dallas"
100049,Data Engineer,Google,Boston,WA,2024-05-14,165992,180362,FULL_TIME,Tech,"Data Engineer role at Google in Boston"
100050,ML Engineer,Meta,Chicago,TX,2024-03-17,174400,211333,FULL_TIME,Tech,"ML Engineer role at Meta in Chicago"
100051,Software Engineer,Infosys,San Jose,CA,2024-04-21,158897,191505,FULL_TIME,Tech,"Software Engineer role at Infosys in San Jose"
100052,Data Engineer,Google,Chicago,NY,2024-09-24,75107,102256,FULL_TIME,Tech,"Data Engineer role at Google in Chicago"
100053,ML Engineer,Amazon,New York,NY,2024-05-26,205642,251531,FULL_TIME,Tech,"ML Engineer role at Amazon in New York"
100054,Data Scientist,Google,Boston,WA,2024-05-18,97467,107976,FULL_TIME,Tech,"Data Scientist role at Google in Boston"
100055,Data Scientist,Microsoft,Seattle,WA,2024-05-22,180691,229991,FULL_TIME,Tech,"Data Scientist role at Microsoft in Seattle"
100056,Software Engineer,TCS,Chicago,NY,2024-01-15,93451,116739,FULL_TIME,Tech,"Software Engineer role at TCS in Chicago"
100057,ML Engineer,Google,Seattle,TX,2024-02-17,93217,115292,FULL_TIME,Tech,"ML Engineer role at Google in Seattle"
100058,Data Scientist,Apple,Boston,TX,2024-06-27,188954,194710,FULL_TIME,Tech,"Data Scientist role at Apple in Boston"
100059,ML Engineer,Apple,San Jose,WA,2024-04-13,81326,120857,FULL_TIME,Tech,"ML Engineer role at Apple in San Jose"
100060,Software Engineer,Apple,Dallas,WA,2024-05-26,122892,148338,FULL_TIME,Tech,"Software Engineer role at Apple in Dallas"
100061,Software Engineer,Apple,New York,IL,2024-06-10,116635,139363,FULL_TIME,Tech,"Software Engineer role at Apple in New York"
100062,Data Engineer,Amazon,Dallas,TX,2024-04-26,202554,243667,FULL_TIME,Tech,"Data Engineer role at Amazon in Dallas"
100063,ML Engineer,Meta,New York,TX,2024-08-27,183292,231317,FULL_TIME,Tech,"ML Engineer role at Meta in New York"
100064,ML Engineer,Apple,Chicago,WA,2024-04-14,130179,157638,FULL_TIME,Tech,"ML Engineer role at Apple in Chicago"
100065,ML Engineer,Deloitte,Dallas,WA,2024-05-23,73736,83370,FULL_TIME,Tech,"ML Engineer role at Deloitte in Dallas"
100066,Software Engineer,Amazon,Dallas,MA,2024-05-17,169845,208002,FULL_TIME,Tech,"Software Engineer role at Amazon in Dallas"
100067,Data Engineer,Amazon,New York,WA,2024-08-10,111296,133927,FULL_TIME,Tech,"Data Engineer role at Amazon in New York"
100068,Data Engineer,Deloitte,Seattle,IL,2024-01-19,154812,175832,FULL_TIME,Tech,"Data Engineer role at Deloitte in Seattle"
100069,Software Engineer,Deloitte,Austin,TX,2024-02-25,157905,187915,FULL_TIME,Tech,"Software Engineer role at Deloitte in Austin"
100070,Data Engineer,Meta,Austin,IL,2024-05-12,71297,82251,FULL_TIME,Tech,"Data Engineer role at Meta in Austin"
100071,Software Engineer,Infosys,San Jose,TX,2024-05-19,173279,179753,FULL_TIME,Tech,"Software Engineer role at Infosys in San Jose"
100072,Software Engineer,Google,San Jose,IL,2024-07-20,110698,158790,FULL_TIME,Tech,"Software Engineer role at Google in San Jose"
100073,ML Engineer,Microsoft,Seattle,MA,2024-09-23,107945,115814,FULL_TIME,Tech,"ML Engineer role at Microsoft in Seattle"
100074,BI Analyst,Microsoft,San Jose,IL,2024-04-12,219023,225076,FULL_TIME,Tech,"BI Analyst role at Microsoft in San Jose"
100075,Data Scientist,Amazon,Austin,MA,2024-07-24,164557,176432,FULL_TIME,Tech,"Data Scientist role at Amazon in Austin"
100076,BI Analyst,Amazon,Chicago,TX,2024-04-25,209314,258922,FULL_TIME,Tech,"BI Analyst role at Amazon in Chicago"
100077,Data Engineer,Amazon,New York,TX,2024-02-26,201850,241924,FULL_TIME,Tech,"Data Engineer role at Amazon in New York"
100078,Data Scientist,TCS,Seattle,TX,2024-04-17,139614,160000,FULL_TIME,Tech,"Data Scientist role at TCS in Seattle"
100079,ML Engineer,TCS,Boston,CA,2024-05-11,90116,126508,FULL_TIME,Tech,"ML Engineer role at TCS in Boston"
100080,BI Analyst,Meta,Dallas,IL,2024-05-19,108646,135389,FULL_TIME,Tech,"BI Analyst role at Meta in Dallas"
100081,BI Analyst,Microsoft,Dallas,CA,2024-05-13,85901,122738,FULL_TIME,Tech,"BI Analyst role at Microsoft in Dallas"
100082,Software Engineer,TCS,Seattle,MA,2024-08-24,205406,229119,FULL_TIME,Tech,"Software Engineer role at TCS in Seattle"
100083,ML Engineer,Google,San Jose,WA,2024-08-10,151703,162329,FULL_TIME,Tech,"ML Engineer role at Google in San Jose"
100084,Data Engineer,TCS,Dallas,IL,2024-07-16,187820,210426,FULL_TIME,Tech,"Data Engineer role at TCS in Dallas"
100085,Software Engineer,Google,San Jose,TX,2024-05-21,107156,146501,FULL_TIME,Tech,"Software Engineer role at Google in San Jose"
100086,Software Engineer,Apple,Dallas,MA,2024-08-25,165731,185894,FULL_TIME,Tech,"Software Engineer role at Apple in Dallas"
100087,ML Engineer,Amazon,Austin,TX,2024-08-22,198895,248563,FULL_TIME,Tech,"ML Engineer role at Amazon in Austin"
100088,Data Engineer,Microsoft,New York,NY,2024-02-20,168593,194307,FULL_TIME,Tech,"Data Engineer role at Microsoft in New York"
100089,Data Scientist,Deloitte,Boston,NY,2024-04-10,174401,187268,FULL_TIME,Tech,"Data Scientist role at Deloitte in Boston"
100090,Data Engineer,Apple,Seattle,TX,2024-02-21,172996,203565,FULL_TIME,Tech,"Data Engineer role at Apple in Seattle"
100091,ML Engineer,Apple,Boston,TX,2024-01-19,143567,155232,FULL_TIME,Tech,"ML Engineer role at Apple in Boston"
100092,Software Engineer,Meta,Seattle,CA,2024-04-21,203945,229628,FULL_TIME,Tech,"Software Engineer role at Meta in Seattle"
100093,ML Engineer,Amazon,Boston,MA,2024-09-16,174868,216184,FULL_TIME,Tech,"ML Engineer role at Amazon in Boston"
100094,Data Scientist,Amazon,Chicago,CA,2024-03-19,188190,233489,FULL_TIME,Tech,"Data Scientist role at Amazon in Chicago"
100095,ML Engineer,Amazon,San Jose,WA,2024-07-20,114764,150709,FULL_TIME,Tech,"ML Engineer role at Amazon in San Jose"
100096,Data Engineer,Apple,Seattle,MA,2024-04-19,138201,169822,FULL_TIME,Tech,"Data Engineer role at Apple in Seattle"
100097,ML Engineer,Infosys,Dallas,WA,2024-04-26,112377,122303,FULL_TIME,Tech,"ML Engineer role at Infosys in Dallas"
100098,ML Engineer,Meta,New York,NY,2024-03-27,187954,220965,FULL_TIME,Tech,"ML Engineer role at Meta in New York"
100099,Software Engineer,Meta,Dallas,WA,2024-02-20,159641,201070,FULL_TIME,Tech,"Software Engineer role at Meta in Dallas"
100100,Software Engineer,Deloitte,Seattle,IL,2024-07-22,122990,129306,FULL_TIME,Tech,"Software Engineer role at Deloitte in Seattle"
100101,ML Engineer,Meta,New York,NY,2024-08-18,158657,167724,FULL_TIME,Tech,"ML Engineer role at Meta in New York"
100102,BI Analyst,Deloitte,Austin,MA,2024-04-12,201962,241645,FULL_TIME,Tech,"BI Analyst role at Deloitte in Austin"
100103,Data Engineer,Meta,New York,CA,2024-05-10,186879,220179,FULL_TIME,Tech,"Data Engineer role at Meta in New York"
100104,Software Engineer,Amazon,New York,MA,2024-08-10,194064,237545,FULL_TIME,Tech,"Software Engineer role at Amazon in New York"
100105,Data Scientist,Infosys,Boston,IL,2024-04-13,192723,227145,FULL_TIME,Tech,"Data Scientist role at Infosys in Boston"
100106,Software Engineer,Microsoft,Austin,IL,2024-08-12,98544,145968,FULL_TIME,Tech,"Software Engineer role at Microsoft in Austin"
100107,BI Analyst,Amazon,Dallas,WA,2024-01-19,130968,173283,FULL_TIME,Tech,"BI Analyst role at Amazon in Dallas"
100108,Software Engineer,Apple,San Jose,MA,2024-02-12,184669,197017,FULL_TIME,Tech,"Software Engineer role at Apple in San Jose"
100109,Data Engineer,Meta,New York,NY,2024-01-10,128610,173001,FULL_TIME,Tech,"Data Engineer role at Meta in New York"
100110,BI Analyst,Apple,New York,NY,2024-04-25,152931,200173,FULL_TIME,Tech,"BI Analyst role at Apple in New York"
100111,BI Analyst,Meta,San Jose,WA,2024-05-11,77675,109663,FULL_TIME,Tech,"BI Analyst role at Meta in San Jose"
100112,Data Scientist,Meta,New York,MA,2024-05-17,180104,190418,FULL_TIME,Tech,"Data Scientist role at Meta in New York"
100113,ML Engineer,Deloitte,Austin,CA,2024-07-21,78938,106092,FULL_TIME,Tech,"ML Engineer role at Deloitte in Austin"
100114,ML Engineer,Meta,Dallas,NY,2024-04-25,202350,211769,FULL_TIME,Tech,"ML Engineer role at Meta in Dallas"
100115,Software Engineer,Apple,Boston,WA,2024-04-18,130505,165986,FULL_TIME,Tech,"Software Engineer role at Apple in Boston"
100116,Data Engineer,Google,San Jose,CA,2024-08-23,119103,138738,FULL_TIME,Tech,"Data Engineer role at Google in San Jose"
100117,Data Scientist,Microsoft,New York,TX,2024-03-23,125823,132371,FULL_TIME,Tech,"Data Scientist role at Microsoft in New York"
100118,Data Scientist,Amazon,Austin,CA,2024-02-12,187870,213461,FULL_TIME,Tech,"Data Scientist role at Amazon in Austin"
100119,Software Engineer,Deloitte,Austin,WA,2024-01-19,207572,243217,FULL_TIME,Tech,"Software Engineer role at Deloitte in Austin"
100120,ML Engineer,Deloitte,Seattle,CA,2024-01-12,114370,126510,FULL_TIME,Tech,"ML Engineer role at Deloitte in Seattle"
100121,Data Engineer,Google,Seattle,CA,2024-04-22,102429,144203,FULL_TIME,Tech,"Data Engineer role at Google in Seattle"
100122,Data Engineer,Apple,Boston,CA,2024-08-16,93005,101233,FULL_TIME,Tech,"Data Engineer role at Apple in Boston"
100123,Data Engineer,TCS,Austin,NY,2024-01-23,165485,201584,FULL_TIME,Tech,"Data Engineer role at TCS in Austin"
100124,Software Engineer,Infosys,Dallas,CA,2024-02-11,79136,114548,FULL_TIME,Tech,"Software Engineer role at Infosys in Dallas"
100125,Data Engineer,Meta,Chicago,TX,2024-05-20,158885,187672,FULL_TIME,Tech,"Data Engineer role at Meta in Chicago"
100126,BI Analyst,Amazon,Seattle,MA,2024-05-10,152964,176027,FULL_TIME,Tech,"BI Analyst role at Amazon in Seattle"
100127,BI Analyst,Google,Dallas,WA,2024-08-22,98117,134258,FULL_TIME,Tech,"BI Analyst role at Google in Dallas"
100128,Data Engineer,Infosys,Boston,CA,2024-03-10,104788,142329,FULL_TIME,Tech,"Data Engineer role at Infosys in Boston"
100129,Data Engineer,Microsoft,San Jose,WA,2024-08-21,155930,181871,FULL_TIME,Tech,"Data Engineer role at Microsoft in San Jose"
100130,BI Analyst,Google,San Jose,WA,2024-04-23,172677,188158,FULL_TIME,Tech,"BI Analyst role at Google in San Jose"
100131,Data Scientist,Amazon,New York,IL,2024-03-23,212767,239115,FULL_TIME,Tech,"Data Scientist role at Amazon in New York"
100132,Data Scientist,Google,Seattle,IL,2024-02-23,92041,110694,FULL_TIME,Tech,"Data Scientist role at Google in Seattle"
100133,ML Engineer,TCS,Austin,WA,2024-08-17,104847,137165,FULL_TIME,Tech,"ML Engineer role at TCS in Austin"
100134,BI Analyst,Google,Boston,NY,2024-05-21,147013,170323,FULL_TIME,Tech,"BI Analyst role at Google in Boston"
100135,Data Engineer,Apple,Austin,CA,2024-04-17,134862,152034,FULL_TIME,Tech,"Data Engineer role at Apple in Austin"
100136,Software Engineer,Apple,San Jose,WA,2024-07-18,155547,164794,FULL_TIME,Tech,"Software Engineer role at Apple in San Jose"
100137,Software Engineer,Meta,Chicago,TX,2024-02-10,191612,199038,FULL_TIME,Tech,"Software Engineer role at Meta in Chicago"
100138,ML Engineer,Meta,Boston,CA,2024-05-17,168009,175654,FULL_TIME,Tech,"ML Engineer role at Meta in Boston"
100139,Data Scientist,Amazon,Austin,IL,2024-06-26,120898,130820,FULL_TIME,Tech,"Data Scientist role at Amazon in Austin"
100140,Software Engineer,TCS,San Jose,NY,2024-06-16,71661,83593,FULL_TIME,Tech,"Software Engineer role at TCS in San Jose"
100141,Data Scientist,Deloitte,Seattle,WA,2024-05-11,81577,99944,FULL_TIME,Tech,"Data Scientist role at Deloitte in Seattle"
100142,BI Analyst,Meta,Boston,TX,2024-06-15,155786,187589,FULL_TIME,Tech,"BI Analyst role at Meta in Boston"
100143,BI Analyst,Apple,Dallas,WA,2024-09-25,78248,115729,FULL_TIME,Tech,"BI Analyst role at Apple in Dallas"
100144,Data Scientist,Infosys,Dallas,CA,2024-09-12,214215,229343,FULL_TIME,Tech,"Data Scientist role at Infosys in Dallas"
100145,Software Engineer,Infosys,Chicago,NY,2024-05-23,177423,200989,FULL_TIME,Tech,"Software Engineer role at Infosys in Chicago"
100146,Data Scientist,Apple,Chicago,IL,2024-07-10,163633,195770,FULL_TIME,Tech,"Data Scientist role at Apple in Chicago"
100147,Data Engineer,Meta,New York,MA,2024-01-23,176161,194508,FULL_TIME,Tech,"Data Engineer role at Meta in New York"
100148,Software Engineer,Infosys,Dallas,TX,2024-06-24,176487,219353,FULL_TIME,Tech,"Software Engineer role at Infosys in Dallas"
100149,Software Engineer,Microsoft,Dallas,TX,2024-07-12,214584,228922,FULL_TIME,Tech,"Software Engineer role at Microsoft in Dallas"
100150,BI Analyst,Deloitte,Chicago,IL,2024-06-19,115006,129566,FULL_TIME,Tech,"BI Analyst role at Deloitte in Chicago"
100151,Software Engineer,Microsoft,Dallas,TX,2024-04-19,170593,207739,FULL_TIME,Tech,"Software Engineer role at Microsoft in Dallas"
100152,Software Engineer,Amazon,New York,NY,2024-07-12,83991,128813,FULL_TIME,Tech,"Software Engineer role at Amazon in New York"
100153,BI Analyst,Microsoft,Chicago,WA,2024-04-25,176033,221319,FULL_TIME,Tech,"BI Analyst role at Microsoft in Chicago"
100154,Software Engineer,Meta,Dallas,CA,2024-07-21,205762,221017,FULL_TIME,Tech,"Software Engineer role at Meta in Dallas"
100155,Data Scientist,Microsoft,Austin,MA,2024-09-11,120487,128180,FULL_TIME,Tech,"Data Scientist role at Microsoft in Austin"
100156,Data Engineer,Google,New York,IL,2024-05-23,189467,230515,FULL_TIME,Tech,"Data Engineer role at Google in New York"
100157,Data Engineer,Meta,New York,CA,2024-09-24,166324,200604,FULL_TIME,Tech,"Data Engineer role at Meta in New York"
100158,Software Engineer,Amazon,Dallas,IL,2024-04-24,198319,233811,FULL_TIME,Tech,"Software Engineer role at Amazon in Dallas"
100159,BI Analyst,TCS,Boston,WA,2024-02-12,194051,225287,FULL_TIME,Tech,"BI Analyst role at TCS in Boston"
100160,Software Engineer,Deloitte,New York,NY,2024-09-26,94042,128006,FULL_TIME,Tech,"Software Engineer role at Deloitte in New York"
100161,Data Scientist,Amazon,Chicago,WA,2024-09-12,91558,117118,FULL_TIME,Tech,"Data Scientist role at Amazon in Chicago"
100162,Data Scientist,Infosys,Chicago,WA,2024-02-16,76778,86128,FULL_TIME,Tech,"Data Scientist role at Infosys in Chicago"
100163,Software Engineer,TCS,Seattle,WA,2024-06-18,127967,137260,FULL_TIME,Tech,"Software Engineer role at TCS in Seattle"
100164,Software Engineer,Deloitte,San Jose,NY,2024-05-26,189643,204052,FULL_TIME,Tech,"Software Engineer role at Deloitte in San Jose"
100165,ML Engineer,Meta,San Jose,NY,2024-06-21,202646,223204,FULL_TIME,Tech,"ML Engineer role at Meta in San Jose"
100166,Data Scientist,Meta,Austin,CA,2024-05-20,112265,158983,FULL_TIME,Tech,"Data Scientist role at Meta in Austin"
100167,ML Engineer,Microsoft,Boston,NY,2024-01-21,100167,139948,FULL_TIME,Tech,"ML Engineer role at Microsoft in Boston"
100168,ML Engineer,Google,Seattle,IL,2024-05-22,173351,202695,FULL_TIME,Tech,"ML Engineer role at Google in Seattle"
100169,Data Engineer,Microsoft,Seattle,NY,2024-04-15,91334,125319,FULL_TIME,Tech,"Data Engineer role at Microsoft in Seattle"
100170,BI Analyst,Amazon,Seattle,IL,2024-06-10,136493,161813,FULL_TIME,Tech,"BI Analyst role at Amazon in Seattle"
100171,Data Scientist,Meta,Austin,NY,2024-09-21,183307,215680,FULL_TIME,Tech,"Data Scientist role at Meta in Austin"
100172,Data Scientist,Microsoft,New York,WA,2024-01-10,81949,88409,FULL_TIME,Tech,"Data Scientist role at Microsoft in New York"
100173,BI Analyst,Deloitte,Seattle,TX,2024-09-17,207124,235530,FULL_TIME,Tech,"BI Analyst role at Deloitte in Seattle"
100174,ML Engineer,Apple,San Jose,WA,2024-08-15,123525,152526,FULL_TIME,Tech,"ML Engineer role at Apple in San Jose"
100175,Software Engineer,Amazon,Boston,WA,2024-02-12,109141,143688,FULL_TIME,Tech,"Software Engineer role at Amazon in Boston"
100176,Software Engineer,Apple,New York,NY,2024-09-21,73013,81691,FULL_TIME,Tech,"Software Engineer role at Apple in New York"
100177,BI Analyst,TCS,San Jose,IL,2024-03-10,199198,220483,FULL_TIME,Tech,"BI Analyst role at TCS in San Jose"
100178,Data Scientist,Amazon,San Jose,TX,2024-04-15,176427,193594,FULL_TIME,Tech,"Data Scientist role at Amazon in San Jose"
100179,Data Scientist,Google,Dallas,IL,2024-04-14,214421,262465,FULL_TIME,Tech,"Data Scientist role at Google in Dallas"
100180,ML Engineer,Meta,San Jose,IL,2024-07-15,202893,250333,FULL_TIME,Tech,"ML Engineer role at Meta in San Jose"
100181,BI Analyst,Apple,Dallas,NY,2024-09-10,82711,119032,FULL_TIME,Tech,"BI Analyst role at Apple in Dallas"
100182,ML Engineer,Infosys,Chicago,CA,2024-08-15,91096,139056,FULL_TIME,Tech,"ML Engineer role at Infosys in Chicago"
100183,Software Engineer,Google,Seattle,WA,2024-06-18,80175,93253,FULL_TIME,Tech,"Software Engineer role at Google in Seattle"
100184,Data Scientist,Apple,Chicago,IL,2024-09-18,184308,234248,FULL_TIME,Tech,"Data Scientist role at Apple in Chicago"
100185,Data Engineer,Meta,Dallas,IL,2024-05-17,73991,90117,FULL_TIME,Tech,"Data Engineer role at Meta in Dallas"
100186,Software Engineer,Microsoft,Chicago,NY,2024-06-17,120315,150789,FULL_TIME,Tech,"Software Engineer role at Microsoft in Chicago"
100187,ML Engineer,TCS,New York,IL,2024-07-17,71672,78409,FULL_TIME,Tech,"ML Engineer role at TCS in New York"
100188,BI Analyst,Apple,Boston,WA,2024-02-28,172645,218449,FULL_TIME,Tech,"BI Analyst role at Apple in Boston"
100189,Software Engineer,Microsoft,Dallas,TX,2024-03-21,99332,111323,FULL_TIME,Tech,"Software Engineer role at Microsoft in Dallas"
100190,Software Engineer,Amazon,Dallas,TX,2024-01-12,106281,153456,FULL_TIME,Tech,"Software Engineer role at Amazon in Dallas"
100191,Data Scientist,Google,Boston,IL,2024-09-12,165264,183326,FULL_TIME,Tech,"Data Scientist role at Google in Boston"
100192,ML Engineer,Google,Austin,WA,2024-01-11,123257,135595,FULL_TIME,Tech,"ML Engineer role at Google in Austin"
100193,Data Scientist,Apple,New York,TX,2024-04-19,104774,116187,FULL_TIME,Tech,"Data Scientist role at Apple in New York"
100194,Data Engineer,Deloitte,New York,NY,2024-05-19,75483,103479,FULL_TIME,Tech,"Data Engineer role at Deloitte in New York"
100195,Data Scientist,Deloitte,Seattle,IL,2024-05-10,202051,238251,FULL_TIME,Tech,"Data Scientist role at Deloitte in Seattle"
100196,ML Engineer,Amazon,New York,IL,2024-08-11,95768,123494,FULL_TIME,Tech,"ML Engineer role at Amazon in New York"
100197,BI Analyst,Meta,Chicago,TX,2024-07-10,145264,161429,FULL_TIME,Tech,"BI Analyst role at Meta in Chicago"
100198,BI Analyst,Meta,Seattle,TX,2024-08-13,71143,98936,FULL_TIME,Tech,"BI Analyst role at Meta in Seattle"
100199,ML Engineer,Microsoft,New York,IL,2024-05-28,161012,199772,FULL_TIME,Tech,"ML Engineer role at Microsoft in New York"
100200,Software Engineer,Apple,Boston,WA,2024-03-13,130693,168350,FULL_TIME,Tech,"Software Engineer role at Apple in Boston"
100201,Data Scientist,TCS,Boston,MA,2024-06-21,217129,228981,FULL_TIME,Tech,"Data Scientist role at TCS in Boston"
100202,Data Scientist,Infosys,New York,MA,2024-01-21,92589,125253,FULL_TIME,Tech,"Data Scientist role at Infosys in New York"
100203,Software Engineer,Apple,Seattle,CA,2024-03-22,212851,250696,FULL_TIME,Tech,"Software Engineer role at Apple in Seattle"
100204,Software Engineer,TCS,Austin,IL,2024-06-26,78882,106720,FULL_TIME,Tech,"Software Engineer role at TCS in Austin"
100205,Software Engineer,TCS,Chicago,IL,2024-08-24,154760,170871,FULL_TIME,Tech,"Software Engineer role at TCS in Chicago"
100206,Data Engineer,Meta,Austin,NY,2024-04-26,191115,238235,FULL_TIME,Tech,"Data Engineer role at Meta in Austin"
100207,Software Engineer,Apple,Seattle,MA,2024-04-20,110525,125747,FULL_TIME,Tech,"Software Engineer role at Apple in Seattle"
100208,BI Analyst,Deloitte,Austin,WA,2024-05-13,156002,173406,FULL_TIME,Tech,"BI Analyst role at Deloitte in Austin"
100209,Software Engineer,Google,Austin,CA,2024-05-19,109573,124293,FULL_TIME,Tech,"Software Engineer role at Google in Austin"
100210,ML Engineer,Apple,Austin,TX,2024-04-22,98015,121417,FULL_TIME,Tech,"ML Engineer role at Apple in Austin"
